"time","x","y","position","velocity","acceleration","jerk","heading"
0,13.1879,101.539,0,0,0,0,0
0.02,13.2981,101.539,0.110178,5.50892,275.446,13772.3,0.00533326
0.04,13.4084,101.539,0.220457,5.51392,0.250011,-13759.8,0.0106665
0.06,13.5185,101.539,0.330635,5.50892,-0.250031,-25.0021,0.0159998
0.08,13.6288,101.539,0.440913,5.51392,0.250053,25.0042,0.021333
0.1,13.7391,101.539,0.551192,5.51392,5.98046e-05,-12.4996,0.0266663
0.12,13.8493,101.539,0.66137,5.50892,-0.250112,-12.5086,0.0319996
0.14,13.9595,101.539,0.771649,5.51392,0.250165,25.0138,0.0373328
0.16,14.0697,101.539,0.881827,5.50892,-0.250164,-25.0164,0.0426661
0.18,14.183,101.539,0.995106,5.66397,7.75273,400.145,0.0484699
0.2,14.4457,101.54,1.25777,13.1332,373.462,18285.5,0.0776443
0.22,14.7084,101.54,1.52054,13.1382,0.250076,-18660.6,0.106819
0.24,14.9711,101.54,1.7832,13.1332,-0.248889,-24.9482,0.135993
0.26,15.2564,101.541,2.06848,14.264,56.5357,2839.23,0.174135
0.28,15.5943,101.542,2.40636,16.894,131.501,3748.25,0.233201
0.3,15.9322,101.544,2.74434,16.899,0.253708,-6562.35,0.292267
0.32,16.2957,101.545,3.10781,18.1736,63.7257,3173.6,0.368031
0.34,16.691,101.548,3.50312,19.7655,79.5961,793.519,0.46456
0.36,17.0881,101.552,3.90019,19.8536,4.40494,-3759.56,0.563194
0.38,17.5281,101.557,4.3403,22.0054,107.591,5159.32,0.713069
0.4,17.9683,101.563,4.78052,22.0111,0.286871,-5365.23,0.862944
0.42,18.4455,101.57,5.25775,23.8614,92.5147,4611.39,1.05571
0.44,18.9259,101.58,5.73829,24.0269,8.27178,-4212.14,1.25239
0.46,19.4411,101.592,6.25357,25.7643,86.8689,3929.85,1.49999
0.48,19.9634,101.607,6.77613,26.1276,18.1685,-3435.02,1.7614
0.5,20.5085,101.625,7.32151,27.2692,57.0774,1945.44,2.06643
0.52,21.0676,101.646,7.88099,27.9741,35.2457,-1091.58,2.41732
0.54,21.6371,101.672,8.45112,28.5062,26.6082,-431.879,2.80267
0.56,22.2285,101.703,9.04335,29.6118,55.2767,1433.43,3.24967
0.58,22.8319,101.74,9.64784,30.2244,30.632,-1232.24,3.73898
0.6,23.447,101.783,10.2644,30.8273,30.1415,-24.5276,4.27254
0.62,24.0754,101.833,10.8948,31.523,34.7856,232.205,4.86513
0.64,24.7138,101.891,11.5359,32.0504,26.3697,-420.795,5.54368
0.66,25.3599,101.957,12.1854,32.4752,21.2443,-256.268,6.28999
0.68,26.0134,102.034,12.8433,32.8971,21.0906,-7.68425,7.10819
0.7,26.6735,102.121,13.5091,33.2917,19.7299,-68.0369,8.00367
0.72,27.3388,102.22,14.1818,33.6326,17.0493,-134.03,8.98425
0.74,28.0077,102.332,14.86,33.9084,13.7863,-163.151,10.0611
0.76,28.6749,102.457,15.5388,33.9441,1.78769,-599.93,11.259
0.78,29.3395,102.597,16.218,33.9575,0.670295,-55.8696,12.5712
0.8,30.0007,102.753,16.8973,33.9667,0.460569,-10.4863,13.9995
0.82,30.6536,102.924,17.5723,33.7506,-10.8087,-563.466,15.5439
0.84,31.2891,103.11,18.2346,33.1143,-31.8116,-1050.14,17.1919
0.86,31.9016,103.31,18.8787,32.2032,-45.558,-687.32,18.9316
0.88,32.4901,103.522,19.5042,31.2785,-46.2354,-33.8692,20.7595
0.9,33.0532,103.746,20.1103,30.301,-48.8734,-131.901,22.68
0.92,33.593,103.982,20.6995,29.4629,-41.9045,348.444,24.6808
0.94,34.1107,104.231,21.2741,28.7269,-36.8023,255.111,26.7511
0.96,34.6079,104.493,21.836,28.0975,-31.4665,266.789,28.8814
0.98,35.0858,104.769,22.3875,27.5756,-26.0971,268.469,31.0612
1,35.546,105.058,22.9312,27.1837,-19.5966,325.025,33.2781
1.02,35.9906,105.362,23.4699,26.9373,-12.3156,364.052,35.5188
1.04,36.4212,105.683,24.0066,26.8325,-5.24063,353.749,37.7693
1.06,36.8396,106.02,24.5442,26.8819,2.46716,385.389,40.0153
1.08,37.2474,106.376,25.0857,27.074,9.60592,356.938,42.2428
1.1,37.6463,106.753,25.6343,27.4291,17.7579,407.6,44.4367
1.12,38.0379,107.152,26.1932,27.9429,25.6881,396.51,46.5816
1.14,38.4225,107.573,26.764,28.5406,29.8841,209.8,48.6695
1.16,38.8006,108.02,27.3488,29.2408,35.0085,256.216,50.6918
1.18,39.1723,108.49,27.9481,29.9665,36.2856,63.8545,52.6426
1.2,39.5375,108.985,28.5638,30.7848,40.9186,231.653,54.5176
1.22,39.896,109.506,29.1962,31.6207,41.7926,43.6996,56.3141
1.24,40.2477,110.052,29.8455,32.4618,42.0546,13.0984,58.0301
1.26,40.5931,110.623,30.513,33.3796,45.8881,191.677,59.6566
1.28,40.9318,111.221,31.2002,34.3596,49.0009,155.642,61.1933
1.3,41.2624,111.842,31.9033,35.1508,39.5613,-471.98,62.6516
1.32,41.5847,112.485,32.6225,35.9644,40.681,55.9806,64.0345
1.34,41.8984,113.149,33.3569,36.7175,37.6551,-151.292,65.3444
1.36,42.2038,113.834,34.1068,37.4946,38.8561,60.0503,66.579
1.38,42.5016,114.542,34.8748,38.402,45.3657,325.476,67.7299
1.4,42.7904,115.268,35.6564,39.0765,33.7259,-581.988,68.8189
1.42,43.07,116.01,36.4494,39.654,28.8778,-242.406,69.8497
1.44,43.3409,116.768,37.2548,40.2693,30.7661,94.4135,70.8219
1.46,43.6041,117.546,38.0759,41.054,39.2322,423.305,71.7219
1.48,43.8586,118.337,38.9066,41.5323,23.9175,-765.734,72.5727
1.5,44.1044,119.141,39.7474,42.0418,25.4731,77.7786,73.3778
1.52,44.3423,119.959,40.5989,42.5761,26.7166,62.1796,74.1325
1.54,44.573,120.79,41.4616,43.1327,27.8291,55.6203,74.832
1.56,44.7956,121.631,42.3316,43.503,18.5141,-465.746,75.4955
1.58,45.0107,122.483,43.21,43.9187,20.7842,113.505,76.1203
1.6,45.2195,123.347,44.099,44.452,26.6635,293.961,76.6966
1.62,45.4212,124.219,44.9946,44.7805,16.4279,-511.776,77.2403
1.64,45.6163,125.1,45.8968,45.1099,16.4688,2.04372,77.7524
1.66,45.8056,125.991,46.8075,45.535,21.2532,239.219,78.2249
1.68,45.989,126.89,47.7249,45.8678,16.6399,-230.663,78.6674
1.7,46.1669,127.795,48.6474,46.127,12.9613,-183.933,79.083
1.72,46.3397,128.708,49.5768,46.4683,17.0641,205.139,79.4646
1.74,46.5077,129.629,50.5124,46.7804,15.6091,-72.7481,79.8203
1.76,46.671,130.554,51.452,46.9798,9.96887,-282.012,80.152
1.78,46.8303,131.488,52.399,47.3518,18.6014,431.624,80.4533
1.8,46.9856,132.426,53.3507,47.5818,11.4991,-355.114,80.7334
1.82,47.1373,133.37,54.3063,47.7825,10.0315,-73.3774,80.9909
1.84,47.2858,134.32,55.2682,48.0958,15.6654,281.692,81.2201
1.86,47.4312,135.274,56.2332,48.2469,7.55603,-405.467,81.4321
1.88,47.574,136.234,57.2033,48.5066,12.9835,271.375,81.6217
1.9,47.7146,137.199,58.1791,48.789,14.121,56.8718,81.787
1.92,47.853,138.167,59.157,48.8941,5.25401,-443.348,81.9357
1.94,47.9898,139.142,60.1412,49.2093,15.7639,525.493,82.0623
1.96,48.1251,140.12,61.1281,49.3483,6.94675,-440.856,82.1696
1.98,48.2592,141.102,62.1197,49.5766,11.4145,223.386,82.2588
2,48.3926,142.089,63.1157,49.7995,11.1485,-13.2963,82.3259
2.02,48.5255,143.079,64.1147,49.9537,7.71079,-171.888,82.3777
2.04,48.6581,144.074,65.1179,50.1609,10.3556,132.24,82.4093
2.06,48.791,145.073,66.1256,50.3829,11.1001,37.2246,82.4196
2.08,48.9243,146.075,67.1364,50.5406,7.88671,-160.669,82.4149
2.1,49.0585,147.081,68.1516,50.7617,11.0548,158.405,82.3893
2.12,49.1937,148.091,69.1707,50.9528,9.55748,-74.8667,82.3459
2.14,49.3303,149.105,70.1937,51.1523,9.97388,20.8201,82.2841
2.16,49.4689,150.123,71.2214,51.385,11.6352,83.0679,82.201
2.18,49.6095,151.145,72.2526,51.5578,8.63941,-149.791,82.1025
2.2,49.7527,152.17,73.2877,51.7548,9.84851,60.4549,81.9818
2.22,49.8989,153.199,74.3277,51.998,12.1588,115.516,81.8395
2.24,50.0483,154.233,75.3715,52.192,9.70255,-122.813,81.6805
2.26,50.2014,155.27,76.4198,52.4127,11.0355,66.6479,81.4978
2.28,50.3588,156.31,77.4717,52.5994,9.3366,-84.9459,81.2951
2.3,50.5206,157.354,78.5288,52.8517,12.6138,163.858,81.071
2.32,50.6877,158.404,79.5918,53.1493,14.8783,113.228,80.8217
2.34,50.8601,159.457,80.6586,53.3429,9.68294,-259.769,80.5527
2.36,51.0387,160.513,81.7299,53.5632,11.0119,66.4487,80.2572
2.38,51.2239,161.575,82.8078,53.8941,16.5435,276.578,79.9345
2.4,51.416,162.64,83.89,54.1121,10.9019,-282.081,79.5912
2.42,51.6161,163.711,84.9792,54.4574,17.2634,318.077,79.2158
2.44,51.8247,164.786,86.0748,54.7843,16.3448,-45.9285,78.8106
2.46,52.042,165.865,87.1749,55.001,10.8362,-275.431,78.3821
2.48,52.2693,166.949,88.2823,55.3728,18.5908,387.732,77.9163
2.5,52.5073,168.038,89.3977,55.7693,19.827,61.8061,77.4164
2.52,52.7563,169.131,90.5189,56.0599,14.5282,-264.937,76.8888
2.54,53.0178,170.23,91.6481,56.4588,19.9465,270.914,76.3194
2.56,53.2927,171.335,92.7873,56.9598,25.0507,255.208,75.7092
2.58,53.5814,172.444,93.9325,57.2617,15.0904,-498.014,75.0643
2.6,53.8856,173.557,95.087,57.7224,23.0354,397.251,74.3759
2.62,54.2064,174.678,96.2526,58.2821,27.9875,247.606,73.6359
2.64,54.5448,175.803,97.4274,58.7415,22.971,-250.826,72.8511
2.66,54.902,176.932,98.6116,59.2102,23.4329,23.0936,72.0229
2.68,55.2801,178.069,99.8098,59.9062,34.8003,568.37,71.1314
2.7,55.6805,179.211,101.02,60.4889,29.1368,-283.173,70.181
2.72,56.1043,180.356,102.241,61.0554,28.3235,-40.6671,69.176
2.74,56.5532,181.505,103.474,61.6761,31.0365,135.651,68.1142
2.76,57.0301,182.659,104.723,62.4407,38.2301,359.682,66.9763
2.78,57.5367,183.818,105.988,63.2609,41.0091,138.95,65.7651
2.8,58.0743,184.979,107.267,63.9409,33.9997,-350.474,64.4847
2.82,58.6452,186.141,108.562,64.7366,39.7861,289.32,63.133
2.84,59.2514,187.302,109.871,65.4827,37.3011,-124.248,61.7065
2.86,59.8967,188.464,111.201,66.4667,49.2042,595.155,60.1878
2.88,60.5824,189.624,112.548,67.3869,46.0091,-159.753,58.5842
2.9,61.3102,190.778,113.912,68.1952,40.4156,-279.679,56.9
2.92,62.0817,191.923,115.294,69.0649,43.4828,153.36,55.1353
2.94,62.8989,193.057,116.691,69.8743,40.4727,-150.501,53.2907
2.96,63.7629,194.177,118.106,70.7288,42.7244,112.582,51.3683
2.98,64.6747,195.278,119.536,71.4914,38.1268,-229.877,49.3718
3,65.6355,196.358,120.981,72.2532,38.0909,-1.79472,47.3005
3.02,66.644,197.411,122.439,72.9238,33.5304,-228.028,45.1696
3.04,67.6985,198.432,123.907,73.383,22.9611,-528.465,42.9908
3.06,68.7972,199.418,125.383,73.8139,21.544,-70.8538,40.7753
3.08,69.9373,200.363,126.864,74.027,10.6535,-544.525,38.5358
3.1,71.1153,201.264,128.347,74.169,7.10222,-177.565,36.2858
3.12,72.3271,202.118,129.829,74.1246,-2.22215,-466.219,34.0396
3.14,73.5683,202.921,131.308,73.906,-10.9301,-435.396,31.8112
3.16,74.8337,203.673,132.779,73.5955,-15.5253,-229.763,29.615
3.18,76.1185,204.371,134.242,73.1123,-24.1581,-431.639,27.4634
3.2,77.4171,205.017,135.692,72.5169,-29.7708,-280.636,25.3712
3.22,78.724,205.608,137.126,71.7185,-39.9179,-507.355,23.3522
3.24,80.0357,206.147,138.545,70.9185,-40.0033,-4.2679,21.4097
3.26,81.3484,206.637,139.946,70.0533,-43.2577,-162.719,19.5497
3.28,82.6588,207.08,141.329,69.1527,-45.0293,-88.582,17.776
3.3,83.9634,207.477,142.693,68.1855,-48.3608,-166.574,16.092
3.32,85.2502,207.829,144.027,66.7026,-74.1432,-1289.12,14.5099
3.34,86.503,208.135,145.316,64.4848,-110.891,-1837.39,13.0447
3.36,87.7125,208.4,146.555,61.9139,-128.546,-882.776,11.7087
3.38,88.8772,208.628,147.741,59.3409,-128.651,-5.23805,10.4945
3.4,89.9992,208.825,148.881,56.9507,-119.509,457.099,9.38622
3.42,91.0803,208.994,149.975,54.7139,-111.84,383.468,8.37286
3.44,92.1218,209.137,151.026,52.5657,-107.411,221.422,7.44621
3.46,93.1244,209.261,152.036,50.5099,-102.79,231.094,6.60115
3.48,94.0887,209.366,153.006,48.5005,-100.467,116.142,5.83458
3.5,95.0162,209.454,153.938,46.586,-95.7282,236.93,5.14306
