"time","x","y","position","velocity","acceleration","jerk","heading"
0,13.1879,77.4391,0,0,0,0,0
0.02,13.3003,77.4391,0.112422,5.62108,281.054,14052.7,0.00533326
0.04,13.4128,77.4391,0.224943,5.62608,0.249989,-14040.2,0.0106665
0.06,13.5253,77.4391,0.337365,5.62108,-0.249969,-24.9979,0.0159998
0.08,13.6378,77.4391,0.449887,5.62608,0.249947,24.9958,0.021333
0.1,13.7503,77.4392,0.562408,5.62609,0.000164615,-12.4891,0.0266663
0.12,13.8627,77.4392,0.67483,5.62108,-0.250112,-12.5138,0.0319996
0.14,13.9753,77.4393,0.787352,5.62608,0.25006,25.0086,0.0373328
0.16,14.0877,77.4393,0.899773,5.62108,-0.25006,-25.006,0.0426661
0.18,14.2034,77.4394,1.01549,5.78603,8.24749,424.877,0.0484699
0.2,14.4783,77.4396,1.29043,13.7468,398.038,19489.5,0.0776443
0.22,14.7534,77.4399,1.56547,13.7518,0.250389,-19889.4,0.106819
0.24,15.0283,77.4404,1.8404,13.7468,-0.249623,-25.0006,0.135993
0.26,15.3296,77.4412,2.14172,15.0661,65.9661,3310.79,0.174135
0.28,15.6923,77.4423,2.50445,18.1362,153.504,4376.88,0.233201
0.3,16.0552,77.4439,2.86727,18.1413,0.25371,-7662.5,0.292267
0.32,16.4505,77.4459,3.26261,19.767,81.2846,4051.55,0.368031
0.34,16.8864,77.4491,3.69853,21.7956,101.432,1007.35,0.46456
0.36,17.3249,77.4529,4.13708,21.928,6.61847,-4740.66,0.563194
0.38,17.8281,77.4584,4.64023,25.1575,161.474,7742.8,0.713069
0.4,18.3313,77.4653,5.1435,25.1632,0.286869,-8059.38,0.862944
0.42,18.8895,77.4744,5.70181,27.9155,137.617,6866.51,1.05571
0.44,19.4527,77.4856,6.26507,28.1633,12.3876,-6261.48,1.25239
0.46,20.0719,77.5002,6.88451,30.9716,140.414,6401.33,1.49999
0.48,20.7042,77.5181,7.51701,31.6254,32.6905,-5386.19,1.7614
0.5,21.3775,77.5404,8.1907,33.6843,102.946,3512.79,2.06643
0.52,22.084,77.5679,8.89777,35.3537,83.4701,-973.81,2.41732
0.54,22.8155,77.6011,9.62999,36.6106,62.8448,-1031.27,2.80267
0.56,23.5947,77.6421,10.4102,39.0127,120.105,2863.01,3.24967
0.58,24.4035,77.6911,11.2205,40.5152,75.1232,-2249.09,3.73898
0.6,25.2424,77.7496,12.0615,42.0486,76.6726,77.4705,4.27254
0.62,26.1194,77.8195,12.9412,43.9858,96.8585,1009.3,4.86513
0.64,27.042,77.9034,13.8677,46.321,116.76,995.097,5.54368
0.66,28.0003,78.0023,14.8311,48.1709,92.4967,-1213.19,6.28999
0.68,28.9956,78.1188,15.8332,50.1047,96.6855,209.444,7.10819
0.7,30.0291,78.2555,16.8757,52.1245,100.992,215.336,8.00367
0.72,31.1024,78.4153,17.9608,54.2552,106.534,277.094,8.98425
0.74,32.2179,78.6023,19.0919,56.5555,115.016,424.097,10.0611
0.76,33.3803,78.8208,20.2746,59.137,129.073,702.837,11.259
0.78,34.5849,79.0747,21.5057,61.5541,120.856,-410.817,12.5712
0.8,35.8309,79.3684,22.7858,64.0048,122.538,84.0736,13.9995
0.82,37.1118,79.7056,24.1104,66.2302,111.267,-563.542,15.5439
0.84,38.4125,80.0872,25.4658,67.7726,77.1196,-1707.37,17.1919
0.86,39.7206,80.5133,26.8416,68.7898,50.8596,-1313,18.9316
0.88,41.0323,80.9864,28.236,69.7198,46.5012,-217.92,20.7595
0.9,42.3458,81.5094,29.6498,70.6896,48.4881,99.3488,22.68
0.92,43.6562,82.0838,31.0806,71.54,42.5234,-298.235,24.6808
0.94,44.9585,82.7107,32.5259,72.2654,36.2697,-312.688,26.7511
0.96,46.2481,83.3908,33.9839,72.8977,31.6165,-232.661,28.8814
0.98,47.5202,84.1241,35.4522,73.4167,25.946,-283.525,31.0612
1,48.7698,84.9099,36.9283,73.8049,19.4092,-326.84,33.2781
1.02,49.992,85.7466,38.4095,74.059,12.7068,-335.117,35.5188
1.04,51.182,86.6319,39.8927,74.1602,5.0627,-382.206,37.7693
1.06,52.3358,87.5625,41.375,74.115,-2.26395,-366.333,40.0153
1.08,53.4492,88.5351,42.8534,73.9181,-9.84428,-379.016,42.2428
1.1,54.5193,89.5449,44.3247,73.5667,-17.5679,-386.181,44.4367
1.12,55.5431,90.5872,45.7857,73.0501,-25.8291,-413.06,46.5816
1.14,56.5195,91.6578,47.2347,72.4492,-30.0447,-210.777,48.6695
1.16,57.448,92.7524,48.6701,71.77,-33.963,-195.916,50.6918
1.18,58.3285,93.8662,50.0899,70.9922,-38.8896,-246.331,52.6426
1.2,59.1619,94.9965,51.4943,70.2166,-38.7788,5.53915,54.5176
1.22,59.9494,96.1396,52.8823,69.4017,-40.7444,-98.2804,56.3141
1.24,60.6923,97.2918,54.2533,68.55,-42.586,-92.0793,58.0301
1.26,61.3917,98.4486,55.605,67.5857,-48.2165,-281.523,59.6566
1.28,62.0494,99.6086,56.9386,66.6773,-45.4205,139.798,61.1933
1.3,62.6688,100.77,58.255,65.8198,-42.8738,127.336,62.6516
1.32,63.2519,101.933,59.5559,65.0478,-38.6008,213.648,64.0345
1.34,63.8012,103.095,60.8412,64.2657,-39.1033,-25.1262,65.3444
1.36,64.3182,104.254,62.1104,63.4593,-40.3215,-60.9072,66.579
1.38,64.804,105.408,63.3625,62.6064,-42.6453,-116.192,67.7299
1.4,65.2622,106.56,64.6021,61.9791,-31.3627,564.129,68.8189
1.42,65.6948,107.708,65.8288,61.3327,-32.3203,-47.8769,69.8497
1.44,66.1033,108.852,67.0431,60.7157,-30.853,73.3631,70.8219
1.46,66.4881,109.988,68.2427,59.9819,-36.6881,-291.753,71.7219
1.48,66.8524,111.119,69.4312,59.4255,-27.8177,443.518,72.5727
1.5,67.1974,112.247,70.6107,58.9739,-22.5821,261.782,73.3778
1.52,67.5241,113.369,71.7797,58.4483,-26.2808,-184.935,74.1325
1.54,67.8334,114.484,72.9366,57.844,-30.2159,-196.757,74.832
1.56,68.1274,115.595,74.0857,57.4571,-19.3414,543.725,75.4955
1.58,68.4071,116.701,75.2269,57.0589,-19.9105,-28.4563,76.1203
1.6,68.6727,117.801,76.3583,56.5722,-24.3365,-221.301,76.6966
1.62,68.926,118.897,77.4826,56.2151,-17.8525,324.201,77.2403
1.64,69.1677,119.988,78.6002,55.8799,-16.7602,54.619,77.7524
1.66,69.3984,121.073,79.7097,55.4722,-20.3882,-181.404,78.2249
1.68,69.6192,122.154,80.8131,55.174,-14.9067,274.079,78.6674
1.7,69.8307,123.231,81.9105,54.8675,-15.3255,-20.9423,79.083
1.72,70.0335,124.302,83.0004,54.4938,-18.6888,-168.164,79.4646
1.74,70.2283,125.369,84.0856,54.2612,-11.6262,353.13,79.8203
1.76,70.4158,126.432,85.1647,53.9559,-15.2685,-182.114,80.152
1.78,70.5965,127.49,86.2385,53.6885,-13.366,95.1245,80.4533
1.8,70.771,128.546,87.3079,53.4727,-10.7939,128.602,80.7334
1.82,70.9399,129.596,88.3719,53.198,-13.7337,-146.986,80.9909
1.84,71.1034,130.642,89.4302,52.9161,-14.0937,-18.0039,81.2201
1.86,71.2622,131.684,90.4843,52.7055,-10.5308,178.148,81.4321
1.88,71.4168,132.722,91.5342,52.4941,-10.5714,-2.03026,81.6217
1.9,71.5674,133.757,92.5795,52.2654,-11.4319,-43.0269,81.787
1.92,71.7146,134.787,93.6199,52.0214,-12.2019,-38.4976,81.9357
1.94,71.8588,135.814,94.6574,51.8719,-7.4756,236.314,82.0623
1.96,72.0003,136.836,95.6895,51.6049,-13.3484,-293.638,82.1696
1.98,72.1396,137.856,96.7185,51.4525,-7.61877,286.479,82.2588
2,72.2768,138.871,97.7427,51.2107,-12.0909,-223.608,82.3259
2.02,72.4125,139.883,98.7636,51.0432,-8.37809,185.642,82.3777
2.04,72.5469,140.89,99.7801,50.8254,-10.8859,-125.392,82.4093
2.06,72.6804,141.893,100.792,50.5995,-11.2982,-20.6113,82.4196
2.08,72.8135,142.893,101.801,50.4417,-7.88671,170.573,82.4149
2.1,72.9461,143.889,102.805,50.2233,-10.9228,-151.805,82.3893
2.12,73.0789,144.881,103.806,50.0401,-9.16031,88.1252,82.3459
2.14,73.2121,145.869,104.803,49.8526,-9.37484,-10.7267,82.2841
2.16,73.3459,146.853,105.796,49.6373,-10.763,-69.4083,82.201
2.18,73.4809,147.833,106.786,49.4862,-7.55462,160.419,82.1025
2.2,73.6171,148.808,107.77,49.2163,-13.4961,-297.076,81.9818
2.22,73.7549,149.779,108.75,49.0052,-10.5549,147.063,81.8395
2.24,73.8947,150.745,109.727,48.848,-7.85849,134.819,81.6805
2.26,74.0366,151.706,110.699,48.5703,-13.8865,-301.398,81.4978
2.28,74.1812,152.662,111.665,48.3364,-11.6946,109.593,81.2951
2.3,74.3286,153.614,112.628,48.1386,-9.8896,90.2499,81.071
2.32,74.4791,154.56,113.586,47.9062,-11.6209,-86.5675,80.8217
2.34,74.6333,155.501,114.54,47.6856,-11.0328,29.4097,80.5527
2.36,74.7911,156.435,115.487,47.3485,-16.8544,-291.081,80.2572
2.38,74.9529,157.363,116.429,47.1073,-12.0589,239.775,79.9345
2.4,75.1194,158.286,117.367,46.8921,-10.7602,64.9332,79.5912
2.42,75.2905,159.201,118.298,46.5623,-16.4915,-286.567,79.2158
2.44,75.4665,160.11,119.223,46.2624,-14.9915,75.0025,78.8106
2.46,75.6482,161.011,120.143,45.9891,-13.665,66.3242,78.3821
2.48,75.8353,161.903,121.055,45.5765,-20.6321,-348.354,77.9163
2.5,76.0283,162.788,121.96,45.2559,-16.0309,230.058,77.4164
2.52,76.2281,163.665,122.859,44.9639,-14.5997,71.5598,76.8888
2.54,76.434,164.53,123.749,44.4837,-24.0082,-470.426,76.3194
2.56,76.6469,165.387,124.631,44.1267,-17.8524,307.793,75.7092
2.58,76.8672,166.232,125.505,43.6987,-21.3983,-177.293,75.0643
2.6,77.095,167.067,126.37,43.2446,-22.7067,-65.4232,74.3759
2.62,77.3302,167.888,127.224,42.7191,-26.2719,-178.26,73.6359
2.64,77.5734,168.697,128.069,42.2364,-24.1379,106.703,72.8511
2.66,77.8254,169.494,128.905,41.7923,-22.2038,96.7051,72.0229
2.68,78.0851,170.275,129.728,41.1571,-31.7615,-477.888,71.1314
2.7,78.3531,171.039,130.538,40.5011,-32.7982,-51.8323,70.181
2.72,78.6301,171.788,131.337,39.9193,-29.0897,185.426,69.176
2.74,78.9162,172.521,132.124,39.3455,-28.6897,19.9986,68.1142
2.76,79.2103,173.233,132.894,38.5097,-41.79,-655.018,66.9763
2.78,79.5127,173.926,133.649,37.7884,-36.066,286.202,65.7651
2.8,79.8239,174.597,134.39,37.0131,-38.7642,-134.91,64.4847
2.82,80.1438,175.249,135.116,36.3094,-35.185,178.96,63.133
2.84,80.4722,175.878,135.826,35.4824,-41.3502,-308.257,61.7065
2.86,80.8073,176.482,136.516,34.5276,-47.7417,-319.575,60.1878
2.88,81.1496,177.062,137.189,33.6624,-43.2597,224.097,58.5842
2.9,81.4992,177.616,137.845,32.7757,-44.3319,-53.6097,56.9
2.92,81.8559,178.147,138.484,31.9526,-41.1579,158.698,55.1353
2.94,82.2193,178.651,139.106,31.0818,-43.537,-118.951,53.2907
2.96,82.5893,179.131,139.712,30.3003,-39.0757,223.063,51.3683
2.98,82.9655,179.586,140.302,29.5047,-39.7827,-35.3488,49.3718
3,83.3471,180.014,140.876,28.6936,-40.5534,-38.538,47.3005
3.02,83.7356,180.421,141.438,28.111,-29.1318,571.081,45.1696
3.04,84.1319,180.804,141.989,27.563,-27.3999,86.594,42.9908
3.06,84.5368,181.168,142.533,27.2222,-17.0408,517.959,40.7753
3.08,84.9517,181.511,143.072,26.9306,-14.5795,123.06,38.5358
3.1,85.3781,181.838,143.609,26.8518,-3.93707,532.124,36.2858
3.12,85.8175,182.148,144.147,26.8873,1.77301,285.504,34.0396
3.14,86.2719,182.441,144.688,27.043,7.78501,300.6,31.8112
3.16,86.7431,182.721,145.236,27.4095,18.3276,527.13,29.615
3.18,87.2329,182.987,145.793,27.8642,22.7334,220.287,27.4634
3.2,87.7435,183.241,146.364,28.5178,32.6813,497.395,25.3712
3.22,88.2768,183.482,146.949,29.2587,37.044,218.135,23.3522
3.24,88.8331,183.711,147.55,30.0673,40.4291,169.254,21.4097
3.26,89.4128,183.927,148.169,30.937,43.4839,152.744,19.5497
3.28,90.0164,184.13,148.806,31.8511,45.7089,111.248,17.776
3.3,90.6434,184.321,149.461,32.7702,45.9534,12.2277,16.092
3.32,91.2884,184.497,150.13,33.4302,33.0001,-647.67,14.5099
3.34,91.9426,184.657,150.803,33.6707,12.0261,-1048.7,13.0447
3.36,92.6033,184.802,151.48,33.8168,7.30452,-236.08,11.7087
3.38,93.2668,184.932,152.156,33.8052,-0.578991,-394.176,10.4945
3.4,93.9296,185.047,152.829,33.6426,-8.13364,-377.732,9.38622
3.42,94.5897,185.15,153.497,33.402,-12.0301,-194.825,8.37286
3.44,95.245,185.241,154.158,33.0773,-16.2334,-210.162,7.44621
3.46,95.8948,185.321,154.813,32.7374,-16.9958,-38.1213,6.60115
3.48,96.5387,185.39,155.46,32.3788,-17.9316,-46.7892,5.83458
