"time","x","y","position","velocity","acceleration","jerk","heading"
0,0.311045,2.72433,0,0,0,0,-4.92275e-06
0.02,0.311092,2.72433,4.69701e-05,0.00234851,0.117425,5.87126,-1.0807e-07
0.04,0.311902,2.72433,0.000857197,0.0405114,1.90814,89.5359,-3.671e-05
0.06,0.313254,2.72433,0.00220848,0.0675642,1.35264,-27.7751,-0.000243486
0.08,0.315147,2.72433,0.00410217,0.0946846,1.35602,0.169166,-0.00083849
0.1,0.317585,2.72433,0.00654016,0.121899,1.36074,0.235911,-0.00212581
0.12,0.32057,2.72433,0.00952486,0.149235,1.36678,0.301758,-0.00449441
0.14,0.324104,2.72433,0.0130592,0.176717,1.37411,0.366549,-0.00841677
0.16,0.328192,2.72433,0.0171466,0.204371,1.38271,0.430033,-0.0144472
0.18,0.332836,2.72433,0.0217911,0.232222,1.39256,0.492322,-0.0232203
0.2,0.338042,2.72433,0.026997,0.260295,1.40361,0.552857,-0.0354487
0.22,0.343814,2.72432,0.0327692,0.288612,1.41588,0.613436,-0.0519217
0.24,0.350158,2.72431,0.0391132,0.317198,1.42926,0.668946,-0.0735031
0.26,0.35708,2.7243,0.0460346,0.346074,1.4438,0.727014,-0.10113
0.28,0.364585,2.72429,0.0535399,0.375262,1.45943,0.781698,-0.13581
0.3,0.372681,2.72427,0.0616356,0.404787,1.47622,0.839425,-0.178622
0.32,0.381374,2.72424,0.070329,0.434668,1.49407,0.89258,-0.230715
0.34,0.390672,2.7242,0.0796275,0.464928,1.51299,0.945897,-0.293307
0.36,0.400584,2.72413,0.0895394,0.49559,1.53312,1.00653,-0.367685
0.38,0.411116,2.72406,0.100072,0.526622,1.55158,0.922814,-0.455207
0.4,0.42228,2.72396,0.111236,0.558202,1.57898,1.36995,-0.557303
0.42,0.434082,2.72384,0.123039,0.590154,1.59761,0.931841,-0.675476
0.44,0.446534,2.72367,0.135492,0.62265,1.62481,1.35968,-0.811309
0.46,0.459646,2.72347,0.148605,0.655672,1.65108,1.31335,-0.966463
0.48,0.473428,2.72322,0.162389,0.689191,1.67596,1.24447,-1.14269
0.5,0.48789,2.7229,0.176855,0.723303,1.7056,1.48163,-1.34182
0.52,0.503045,2.72252,0.192015,0.757978,1.73375,1.40747,-1.5658
0.54,0.518905,2.72205,0.207882,0.793358,1.76901,1.76331,-1.81667
0.56,0.535482,2.72148,0.224469,0.829349,1.79957,1.52792,-2.09658
0.58,0.55279,2.72081,0.24179,0.866066,1.83581,1.81189,-2.40781
0.6,0.570843,2.71999,0.259861,0.903562,1.8748,1.94946,-2.75277
0.62,0.589654,2.71903,0.278697,0.941778,1.91081,1.80043,-3.13401
0.64,0.609239,2.71789,0.298315,0.980891,1.95565,2.2422,-3.55422
0.66,0.629612,2.71654,0.318733,1.0209,2.00039,2.23675,-4.01626
0.68,0.650789,2.71495,0.339969,1.06183,2.04636,2.29858,-4.52317
0.7,0.672787,2.7131,0.362044,1.10374,2.09565,2.46475,-5.07814
0.72,0.695619,2.71096,0.384976,1.14662,2.14396,2.41537,-5.68455
0.74,0.719303,2.70846,0.408792,1.1908,2.20895,3.24972,-6.34596
0.76,0.743853,2.70558,0.433511,1.23593,2.2564,2.37231,-7.06611
0.78,0.769284,2.70225,0.459159,1.28241,2.32427,3.39341,-7.84888
0.8,0.795609,2.69842,0.485761,1.3301,2.38446,3.00979,-8.69832
0.82,0.82284,2.69403,0.513343,1.3791,2.44988,3.27087,-9.61856
0.84,0.850981,2.68902,0.541928,1.42925,2.50785,2.89833,-10.6138
0.86,0.88004,2.68329,0.571546,1.4809,2.58229,3.72212,-11.6881
0.88,0.910014,2.67677,0.602221,1.53373,2.64131,2.95083,-12.8457
0.9,0.940895,2.66938,0.633973,1.5876,2.69364,2.61658,-14.0902
0.92,0.972665,2.66101,0.666827,1.64273,2.75649,3.14241,-15.4251
0.94,1.0053,2.65158,0.700798,1.69852,2.78939,1.64533,-16.8531
0.96,1.03876,2.64096,0.735899,1.75505,2.82691,1.87573,-18.3761
0.98,1.07298,2.62905,0.772137,1.81189,2.84196,0.752741,-19.995
1,1.10778,2.61579,0.809378,1.86209,2.50986,-16.6052,-21.7033
1.02,1.14285,2.60121,0.847352,1.89867,1.8289,-34.048,-23.486
1.04,1.17782,2.58533,0.885761,1.92046,1.08942,-36.974,-25.3252
1.06,1.21251,2.56823,0.92444,1.93394,0.67397,-20.7725,-27.2065
1.08,1.24678,2.54987,0.963317,1.94386,0.496354,-8.88076,-29.1203
1.1,1.28054,2.53032,1.00233,1.95052,0.332739,-8.18077,-31.0563
1.12,1.31367,2.50959,1.04141,1.95427,0.187529,-7.2605,-33.0036
1.14,1.34608,2.48775,1.0805,1.95421,-0.00283887,-9.51839,-34.9507
1.16,1.37767,2.46486,1.11951,1.9505,-0.185561,-9.13609,-36.8866
1.18,1.40837,2.44101,1.15838,1.94359,-0.345457,-7.99483,-38.8002
1.2,1.43811,2.41629,1.19705,1.93364,-0.497592,-7.60676,-40.6814
1.22,1.46683,2.39078,1.23547,1.92086,-0.639117,-7.07624,-42.5207
