"time","x","y","position","velocity","acceleration","jerk","heading"
0,0.311045,2.01313,0,0,0,0,-4.92275e-06
0.02,0.311092,2.01313,4.70299e-05,0.00235149,0.117575,5.87874,-1.0807e-07
0.04,0.311902,2.01313,0.000856803,0.0404886,1.90686,89.4641,-3.671e-05
0.06,0.31325,2.01313,0.00220552,0.0674358,1.34736,-27.9749,-0.000243486
0.08,0.315137,2.01313,0.00409183,0.0943154,1.34398,-0.169166,-0.00083849
0.1,0.317559,2.01313,0.00651384,0.121101,1.33926,-0.235911,-0.00212581
0.12,0.320514,2.01313,0.00946914,0.147765,1.33322,-0.301758,-0.00449441
0.14,0.324,2.01313,0.0129548,0.174283,1.32589,-0.366549,-0.00841677
0.16,0.328012,2.01313,0.0169674,0.200629,1.31729,-0.430033,-0.0144472
0.18,0.332548,2.01313,0.0215029,0.226778,1.30744,-0.492322,-0.0232203
0.2,0.337602,2.01313,0.026557,0.252705,1.29639,-0.552857,-0.0354487
0.22,0.34317,2.01312,0.0321248,0.278389,1.28416,-0.611231,-0.0519217
0.24,0.349246,2.01311,0.0382009,0.303803,1.27074,-0.671343,-0.0735031
0.26,0.355824,2.0131,0.0447794,0.328927,1.2562,-0.726984,-0.10113
0.28,0.362899,2.01309,0.0518542,0.353738,1.24056,-0.781674,-0.13581
0.3,0.370463,2.01307,0.0594185,0.378216,1.22387,-0.834618,-0.178622
0.32,0.37851,2.01304,0.0674652,0.402337,1.20607,-0.890195,-0.230715
0.34,0.387032,2.013,0.0759869,0.426081,1.18719,-0.943946,-0.293307
0.36,0.39602,2.01295,0.0849754,0.449429,1.16738,-0.99036,-0.367685
0.38,0.405466,2.01288,0.0944215,0.472302,1.14369,-1.18429,-0.455207
0.4,0.415362,2.0128,0.104318,0.494837,1.12672,-0.848811,-0.557303
0.42,0.425698,2.01268,0.114654,0.516811,1.09871,-1.40022,-0.675476
0.44,0.436464,2.01255,0.125421,0.538347,1.07678,-1.09649,-0.811309
0.46,0.44765,2.01237,0.136609,0.559377,1.05151,-1.26385,-0.966463
0.48,0.459244,2.01216,0.148205,0.579818,1.02203,-1.47391,-1.14269
0.5,0.471236,2.0119,0.1602,0.599715,0.994874,-1.35779,-1.34182
0.52,0.483611,2.01158,0.172579,0.618967,0.962604,-1.61347,-1.5658
0.54,0.496359,2.01121,0.185332,0.637658,0.934566,-1.40192,-1.81667
0.56,0.509464,2.01076,0.198445,0.655627,0.898406,-1.80799,-2.09658
0.58,0.522912,2.01023,0.211903,0.672904,0.863892,-1.7257,-2.40781
0.6,0.536687,2.00961,0.225692,0.689466,0.828095,-1.78987,-2.75277
0.62,0.550772,2.00889,0.239795,0.705166,0.784974,-2.15603,-3.13401
0.64,0.565149,2.00805,0.254197,0.720093,0.746343,-1.93157,-3.55422
0.66,0.5798,2.00708,0.26888,0.734139,0.702329,-2.20068,-4.01626
0.68,0.594703,2.00597,0.283824,0.747219,0.653967,-2.41812,-4.52317
0.7,0.609835,2.0047,0.29901,0.759304,0.604273,-2.48469,-5.07814
