"time","x","y","position","velocity","acceleration","jerk","heading"
0,17.4446,110.568,0,0,0,0,0
0.02,17.5978,110.568,0.153183,7.65913,382.956,19147.8,0.00702901
0.04,17.751,110.568,0.306365,7.65912,-6.94913e-05,-19147.8,0.014058
0.06,17.9041,110.568,0.459548,7.65913,7.47643e-05,0.00721278,0.021087
0.08,18.0573,110.568,0.61273,7.65912,-8.05463e-05,-0.00776553,0.028116
0.1,18.2106,110.568,0.766013,7.66413,0.25008,12.508,0.035145
0.12,18.3638,110.568,0.919195,7.65912,-0.250141,-25.0111,0.0421741
0.14,18.6328,110.568,1.18815,13.4479,289.44,14484.5,0.0640352
0.16,18.9984,110.569,1.55379,18.2817,241.687,-2387.65,0.0982778
0.18,19.364,110.569,1.91942,18.2817,0.000913304,-12084.3,0.13252
0.2,19.8214,110.571,2.37684,22.871,229.468,11473.3,0.195467
0.22,20.2924,110.572,2.84783,23.5494,33.916,-9777.59,0.262653
0.24,20.8258,110.575,3.3812,26.6684,155.951,6101.77,0.379047
0.26,21.3788,110.579,3.93424,27.6525,49.2038,-5337.38,0.510694
0.28,21.9919,110.585,4.54738,30.6568,150.218,5050.72,0.68707
0.3,22.6374,110.594,5.1929,32.2759,80.954,-3463.21,0.892697
0.32,23.3157,110.606,5.87134,33.922,82.3071,67.6543,1.13568
0.34,24.0297,110.622,6.58555,35.7103,89.4137,355.327,1.44299
0.36,24.7821,110.643,7.33824,37.6345,96.2096,339.797,1.81477
0.38,25.566,110.67,8.12262,39.219,79.2232,-849.319,2.24189
0.4,26.3784,110.705,8.93577,40.6578,71.9392,-364.2,2.74371
0.42,27.2164,110.749,9.77491,41.9567,64.949,-349.511,3.33478
0.44,28.0798,110.804,10.64,43.2567,64.9986,2.4798,4.01478
0.46,28.9671,110.872,11.5299,44.4955,61.9373,-153.062,4.78889
0.48,29.8691,110.955,12.4357,45.2862,39.5372,-1120.01,5.69229
0.5,30.7864,111.054,13.3583,46.131,42.2384,135.059,6.7183
0.52,31.7186,111.173,14.2981,46.9885,42.8769,31.9238,7.89258
0.54,32.6532,111.313,15.2431,47.2539,13.2689,-1480.4,9.23422
0.56,33.5884,111.477,16.1926,47.4721,10.912,-117.845,10.7441
0.58,34.522,111.668,17.1455,47.6453,8.66056,-112.573,12.442
0.6,35.4421,111.886,18.0912,47.2846,-18.039,-1334.98,14.3703
0.62,36.3466,112.135,19.0293,46.9083,-18.8144,-38.7701,16.5136
0.64,37.2316,112.417,19.9581,46.4385,-23.4868,-233.624,18.9076
0.66,38.0879,112.732,20.8705,45.6182,-41.0175,-876.533,21.5521
0.68,38.9141,113.082,21.7679,44.8695,-37.4354,179.106,24.463
0.7,39.7114,113.471,22.6547,44.341,-26.4229,550.626,27.6114
0.72,40.478,113.901,23.5337,43.9497,-19.5634,342.972,30.9825
0.74,41.218,114.376,24.413,43.9652,0.77469,1016.91,34.5522
0.76,41.9389,114.908,25.309,44.8004,41.7557,2049.05,38.2555
0.78,42.6459,115.504,26.2338,46.2398,71.9706,1510.75,42.0322
0.8,43.3469,116.18,27.2081,48.7136,123.69,2585.97,45.8051
0.82,44.0444,116.947,28.2446,51.8289,155.765,1603.76,49.5165
0.84,44.7418,117.82,29.3615,55.844,200.756,2249.56,53.0965
0.86,45.4386,118.81,30.5727,60.5607,235.833,1753.82,56.4894
0.88,46.1292,119.921,31.8807,65.3978,241.857,301.2,59.6778
0.9,46.812,121.164,33.2991,70.9192,276.07,1710.67,62.6161
0.92,47.479,122.533,34.8218,76.1353,260.804,-763.297,65.3181
0.94,48.1258,124.028,36.451,81.461,266.286,274.093,67.7837
0.96,48.7518,125.653,38.1922,87.0598,279.942,682.788,69.9915
0.98,49.3498,127.393,40.032,91.9885,246.433,-1675.42,71.9877
1,49.9184,129.244,41.9684,96.8229,241.72,-235.659,73.7816
1.02,50.4534,131.187,43.9834,100.748,196.256,-2273.24,75.3583
1.04,50.9498,133.19,46.0467,103.167,120.938,-3765.9,76.7384
1.06,51.411,135.245,48.1536,105.344,108.873,-603.216,77.9347
1.08,51.8397,137.348,50.2997,107.304,98.0082,-543.247,78.9755
1.1,52.239,139.491,52.4796,108.997,84.6278,-669.022,79.8746
1.12,52.6129,141.673,54.6928,110.66,83.17,-72.8923,80.6411
1.14,52.9638,143.885,56.9325,111.984,66.1919,-848.904,81.2958
1.16,53.2957,146.127,59.1995,113.351,68.354,108.105,81.8394
1.18,53.6115,148.396,61.4905,114.546,59.7339,-431.006,82.2855
1.2,53.9144,150.69,63.8044,115.697,57.5649,-108.45,82.6404
1.22,54.2081,153.009,66.1413,116.844,57.3543,-10.5295,82.8988
1.24,54.4953,155.347,68.4976,117.815,48.5341,-441.01,83.0772
1.26,54.7794,157.706,70.8736,118.799,49.1948,33.0369,83.1723
1.28,55.0639,160.089,73.2727,119.955,57.8213,431.323,83.1798
1.3,55.3519,162.488,75.6889,120.811,42.7639,-752.867,83.1098
1.32,55.6473,164.909,78.128,121.954,57.1611,719.858,82.9526
1.34,55.9536,167.348,80.5869,122.947,49.6625,-374.93,82.7101
1.36,56.275,169.809,83.0683,124.068,56.0649,320.123,82.378
1.38,56.6158,172.29,85.573,125.238,58.4717,120.34,81.9506
1.4,56.9808,174.792,88.101,126.4,58.0899,-19.0931,81.4232
1.42,57.3753,177.318,90.6579,127.845,72.2852,709.765,80.7841
1.44,57.8054,179.867,93.2424,129.223,68.8602,-171.247,80.027
1.46,58.2779,182.441,95.8602,130.888,83.2814,721.058,79.1374
1.48,58.8006,185.043,98.5136,132.672,89.2011,295.982,78.1002
1.5,59.3823,187.672,101.206,134.625,97.6597,422.933,76.9017
1.52,60.0346,190.333,103.946,137.001,118.763,1055.17,75.51
1.54,60.7683,193.021,106.733,139.324,116.153,-130.495,73.9141
1.56,61.5869,195.703,109.537,140.213,44.4448,-3585.42,72.0947
1.58,62.4969,198.362,112.347,140.514,15.0558,-1469.45,70.0531
1.6,63.5093,200.993,115.166,140.95,21.8305,338.734,67.7813
1.62,64.6378,203.594,118.002,141.783,41.6472,990.835,65.249
1.64,65.8942,206.156,120.855,142.66,43.8283,109.058,62.4415
1.66,67.2882,208.665,123.725,143.517,42.8829,-47.2684,59.3684
1.68,68.8311,211.108,126.614,144.445,46.351,173.403,56.0202
1.7,70.5251,213.462,129.514,145.009,28.2481,-905.146,52.4328
1.72,72.3674,215.702,132.415,145.014,0.225084,-1401.15,48.6475
1.74,74.351,217.806,135.307,144.6,-20.6758,-1045.05,44.7003
1.76,76.4528,219.747,138.167,143.037,-78.1919,-2875.8,40.688
1.78,78.6469,221.504,140.978,140.536,-125.053,-2343.06,36.6811
1.8,80.8978,223.063,143.717,136.925,-180.522,-2773.47,32.7672
1.82,83.1728,224.424,146.368,132.552,-218.652,-1906.48,29.0192
1.84,85.4431,225.592,148.921,127.655,-244.844,-1309.61,25.4799
1.86,87.6752,226.578,151.361,122.004,-282.535,-1884.53,22.2026
1.88,89.8457,227.398,153.681,116.004,-300.016,-874.08,19.2187
1.9,91.9501,228.075,155.892,110.53,-273.697,1315.99,16.4967
1.92,93.9651,228.624,157.98,104.433,-304.854,-1557.87,14.0621
1.94,95.8961,229.069,159.962,99.0756,-267.878,1848.81,11.8847
1.96,97.731,229.422,161.83,93.4264,-282.461,-729.18,9.96238
1.98,99.4793,229.701,163.601,88.5248,-245.08,1869.07,8.24509
2,101.141,229.918,165.276,83.7838,-237.049,401.529,6.73205
2.02,102.708,230.085,166.853,78.8269,-247.842,-539.615,5.41638
2.04,104.195,230.211,168.344,74.57,-212.847,1749.74,4.24931
2.06,105.6,230.302,169.753,70.4131,-207.844,250.129,3.23093
2.08,106.926,230.365,171.08,66.384,-201.457,319.345,2.34932
2.1,108.179,230.408,172.334,62.6864,-184.876,829.068,1.57124
2.12,109.359,230.433,173.514,59.0221,-183.215,83.0758,0.899219
2.14,110.466,230.445,174.621,55.3297,-184.62,-70.2649,0.328128
2.16,111.505,230.446,175.66,51.9361,-169.682,746.877,-0.165933
2.18,112.48,230.439,176.635,48.7764,-157.987,584.767,-0.593633
2.2,113.392,230.426,177.547,45.6076,-158.44,-22.6526,-0.95404
2.22,114.245,230.41,178.401,42.6646,-147.149,564.546,-1.2534
2.24,115.031,230.39,179.187,39.3132,-167.57,-1021.06,-1.50321
2.26,115.755,230.37,179.911,36.2147,-154.921,632.45,-1.71204
2.28,116.436,230.348,180.592,34.0532,-108.077,2342.21,-1.89109
2.3,117.044,230.327,181.2,30.3964,-182.838,-3738.04,-2.01625
2.32,117.601,230.307,181.758,27.8823,-125.707,2856.55,-2.11982
2.34,118.108,230.288,182.266,25.3843,-124.902,40.2601,-2.20296
2.36,118.558,230.27,182.716,22.5291,-142.759,-892.861,-2.26946
2.38,118.944,230.255,183.102,19.2906,-161.925,-958.304,-2.31657
2.4,119.329,230.239,183.488,19.2906,-7.94977e-06,8096.25,-2.36368
2.42,119.534,230.23,183.693,10.2483,-452.113,-22605.6,-2.37909
2.44,119.691,230.224,183.85,7.84023,-120.406,16585.4,-2.386
2.46,119.847,230.217,184.005,7.79225,-2.39881,5900.34,-2.3929
2.48,120.003,230.211,184.162,7.84023,2.39881,239.881,-2.39981
2.5,120.16,230.204,184.319,7.84232,0.104745,-114.703,-2.40672
2.52,120.317,230.198,184.476,7.8401,-0.110857,-10.7801,-2.41362
