"time","x","y","position","velocity","acceleration","jerk","heading"
0,17.4446,82.5681,0,0,0,0,0
0.02,17.6012,82.568,0.156618,7.83088,391.544,19577.2,0.00702901
0.04,17.7578,82.568,0.313235,7.83088,-9.19253e-05,-19577.2,0.014058
0.06,17.9145,82.5681,0.469853,7.83088,8.66339e-05,0.00892796,0.021087
0.08,18.0711,82.5681,0.62647,7.83088,-8.08449e-05,-0.00837394,0.028116
0.1,18.2278,82.5682,0.783188,7.83588,0.250081,12.5081,0.035145
0.12,18.3844,82.5682,0.939805,7.83088,-0.250021,-25.0051,0.0421741
0.14,18.664,82.5684,1.21945,13.9821,307.561,15390.5,0.0640352
0.16,19.0464,82.5688,1.60181,19.1184,256.814,-2537.34,0.0982778
0.18,19.4288,82.5694,1.98418,19.1184,0.000423616,-12840.7,0.13252
0.2,19.917,82.5707,2.47236,24.4091,264.537,13226.8,0.195467
0.22,20.4208,82.5726,2.97618,25.191,39.0949,-11272.1,0.262653
0.24,21.011,82.5758,3.56643,29.5124,216.07,8848.77,0.379047
0.26,21.6284,82.5805,4.18382,30.8692,67.8389,-7411.57,0.510694
0.28,22.3277,82.5875,4.88315,34.9665,204.865,6851.31,0.68707
0.3,23.0736,82.5975,5.62915,37.3003,116.691,-4408.71,0.892697
0.32,23.8707,82.6115,6.42634,39.8592,127.946,562.76,1.13568
0.34,24.7349,82.6307,7.29072,43.2193,168.004,2002.88,1.44299
0.36,25.6689,82.657,8.2251,46.7188,174.974,348.525,1.81477
0.38,26.6614,82.6918,9.21821,49.6555,146.833,-1407.04,2.24189
0.4,27.7188,82.7375,10.2766,52.9195,163.202,818.42,2.74371
0.42,28.8452,82.7969,11.4046,56.3992,173.987,539.271,3.33478
0.44,30.0402,82.8732,12.602,59.8721,173.645,-17.0884,4.01478
0.46,31.3047,82.9702,13.8702,63.4104,176.912,163.338,4.78889
0.48,32.6463,83.0927,15.2174,67.3602,197.49,1028.91,5.69229
0.5,34.062,83.2461,16.6415,71.2008,192.029,-273.051,6.7183
0.52,35.5634,83.4381,18.1551,75.6811,224.014,1599.25,7.89258
0.54,37.1464,83.6758,19.7558,80.0356,217.725,-314.46,9.23422
0.56,38.8082,83.9678,21.4431,84.3644,216.44,-64.2653,10.7441
0.58,40.5546,84.3254,23.2257,89.1313,238.348,1095.39,12.442
0.6,42.3913,84.7624,25.1137,94.3996,263.412,1253.23,14.3703
0.62,44.3054,85.2903,27.0992,99.2759,243.816,-979.819,16.5136
0.64,46.3048,85.9279,29.1978,104.931,282.741,1946.25,18.9076
0.66,48.3737,86.6895,31.4024,110.23,264.952,-889.446,21.5521
0.68,50.5091,87.5958,33.7222,115.989,287.938,1149.31,24.463
0.7,52.6886,88.6594,36.1474,121.261,263.636,-1215.11,27.6114
0.72,54.8918,89.8955,38.6736,126.309,252.407,-561.458,30.9825
0.74,57.0984,91.3145,41.2971,131.175,243.298,-455.438,34.5522
0.76,59.2757,92.9204,44.0026,135.273,204.898,-1920.02,38.2555
0.78,61.3933,94.7062,46.7727,138.505,161.598,-2164.98,42.0322
0.8,63.4221,96.6616,49.5904,140.886,119.049,-2127.46,45.8051
