"time","x","y","position","velocity","acceleration","jerk","heading"
0,17.8396,109.685,0,0,0,0,9.56264e-08
0.02,17.8518,109.685,0.0121999,0.609997,30.4999,1524.99,3.13975e-07
0.04,17.8946,109.685,0.0549985,2.13993,76.4965,2299.83,6.32883e-06
0.06,17.9707,109.685,0.131091,3.80464,83.2356,336.959,3.58565e-05
0.08,18.0895,109.685,0.249868,5.93885,106.711,1173.74,0.000130039
0.1,18.2558,109.685,0.416212,8.31719,118.917,610.338,0.000359649
0.12,18.4696,109.685,0.629999,10.6894,118.609,-15.4368,0.000820839
0.14,18.7309,109.685,0.891301,13.0651,118.784,8.79354,0.00163496
0.16,19.0396,109.685,1.19998,15.434,118.446,-16.9235,0.00294684
0.18,19.3956,109.685,1.556,17.8009,118.344,-5.07854,0.00492281
0.2,19.799,109.685,1.95941,20.1705,118.481,6.83499,0.00774823
0.22,20.2497,109.685,2.41006,22.5326,118.108,-18.6574,0.0116248
0.24,20.7475,109.685,2.9079,24.8922,117.976,-6.57381,0.0167677
0.26,21.2926,109.685,3.45298,27.2539,118.089,5.62908,0.023402
0.28,21.8848,109.686,4.04524,29.6129,117.948,-7.06614,0.0317591
0.3,22.524,109.686,4.68442,31.959,117.305,-32.1581,0.0420734
0.32,23.2103,109.687,5.37066,34.3122,117.663,17.9096,0.0545774
0.34,23.9435,109.687,6.10392,36.6627,117.524,-6.94096,0.0694985
0.36,24.7235,109.688,6.88393,39.0006,116.891,-31.6211,0.0870536
0.38,25.5505,109.69,7.71095,41.3509,117.519,31.385,0.107445
0.4,26.4242,109.692,8.58463,43.6841,116.656,-43.1572,0.130857
0.42,27.3447,109.694,9.50514,46.0253,117.06,20.1965,0.157449
0.44,28.3119,109.697,10.4723,48.3599,116.732,-16.4143,0.187351
0.46,29.3259,109.701,11.4863,50.6984,116.923,9.5607,0.220663
0.48,30.3865,109.705,12.5469,53.0311,116.636,-14.3362,0.257445
0.5,31.4938,109.71,13.6542,55.3637,116.629,-0.343729,0.297715
0.52,32.6478,109.717,14.8082,57.7016,116.899,13.4602,0.341446
0.54,33.8485,109.724,16.0089,60.0357,116.701,-9.8532,0.388559
0.56,35.0959,109.733,17.2564,62.3713,116.783,4.07273,0.438924
0.58,36.3901,109.744,18.5507,64.7144,117.155,18.5946,0.492351
0.6,37.7311,109.756,19.8917,67.0507,116.814,-17.0192,0.54859
0.62,39.119,109.77,21.2797,69.4009,117.511,34.8329,0.607328
0.64,40.554,109.786,22.7148,71.756,117.752,12.0552,0.668189
0.66,42.0361,109.804,24.1969,74.1064,117.524,-11.4076,0.73073
0.68,43.5654,109.825,25.7264,76.4735,118.354,41.4961,0.794438
0.7,45.142,109.847,27.3032,78.8377,118.21,-7.1827,0.858738
0.72,46.7662,109.873,28.9276,81.22,119.112,45.0919,0.922986
0.74,48.4381,109.9,30.5997,83.6061,119.304,9.60083,0.986473
0.76,50.1577,109.931,32.3196,85.9967,119.533,11.4538,1.04843
0.78,51.9256,109.964,34.0878,88.4077,120.548,50.739,1.10803
0.8,53.7416,110,35.9042,90.8194,120.588,1.9803,1.16439
0.82,55.6063,110.039,37.7692,93.2526,121.66,53.6114,1.21658
0.84,57.5196,110.08,39.683,95.6876,121.75,4.52236,1.26364
