"time","x","y","position","velocity","acceleration","jerk","heading"
0,17.8396,81.6849,0,0,0,0,9.56264e-08
0.02,17.8518,81.6849,0.0122001,0.610003,30.5001,1525.01,3.13975e-07
0.04,17.8946,81.6849,0.0550015,2.14007,76.5035,2300.17,6.32883e-06
0.06,17.9707,81.6849,0.131109,3.80536,83.2644,338.041,3.58565e-05
0.08,18.0895,81.6849,0.249932,5.94115,106.789,1176.26,0.000130039
0.1,18.256,81.6849,0.416388,8.32281,119.083,614.662,0.000359649
0.12,18.47,81.6849,0.630401,10.7006,118.891,-9.56319,0.000820839
0.14,18.7317,81.6849,0.892099,13.0849,119.216,16.2065,0.00163496
0.16,19.041,81.6849,1.20142,15.466,119.054,-8.07648,0.00294684
0.18,19.398,81.685,1.5584,17.8491,119.156,5.08204,0.00492281
0.2,19.8028,81.685,1.96319,20.2395,119.519,18.158,0.00774823
0.22,20.2553,81.6851,2.41574,22.6274,119.392,-6.33629,0.0116248
0.24,20.7557,81.6852,2.9161,25.0178,119.524,6.57078,0.0167677
0.26,21.304,81.6854,3.46442,27.4161,119.911,19.3778,0.023402
0.28,21.9004,81.6857,4.06076,29.8171,120.052,7.06928,0.0317591
0.3,22.5446,81.6861,4.70498,32.211,119.696,-17.8394,0.0420734
0.32,23.2369,81.6867,5.39734,34.6178,120.338,32.1122,0.0545774
0.34,23.9775,81.6875,6.13788,37.0273,120.477,6.95012,0.0694985
0.36,24.7661,81.6885,6.92647,39.4295,120.11,-18.3714,0.0870536
0.38,25.6031,81.69,7.76346,41.8492,120.984,43.7428,0.107445
0.4,26.4882,81.6918,8.64858,44.2561,120.346,-31.899,0.130857
0.42,27.4217,81.6942,9.58208,46.675,120.945,29.9337,0.157449
0.44,28.4035,81.6971,10.5639,49.0905,120.776,-8.47305,0.187351
0.46,29.4337,81.7008,11.5941,51.5123,121.089,15.6694,0.220663
0.48,30.5123,81.7052,12.6727,53.9298,120.876,-10.671,0.257445
0.5,31.6392,81.7107,13.7997,56.3476,120.891,0.75583,0.297715
0.52,32.8146,81.7172,14.9751,58.7702,121.127,11.8109,0.341446
0.54,34.0383,81.7251,16.1988,61.1868,120.833,-14.679,0.388559
0.56,35.3103,81.7343,17.4709,63.602,120.756,-3.86851,0.438924
0.58,36.6307,81.745,18.7913,66.0199,120.896,6.98815,0.492351
0.6,37.9991,81.7574,20.1598,68.4249,120.25,-32.2909,0.54859
0.62,39.4158,81.7717,21.5765,70.8362,120.564,15.7128,0.607328
0.64,40.8806,81.7881,23.0413,73.2431,120.346,-10.9134,0.668189
0.66,42.3931,81.8064,24.554,75.6346,119.577,-38.4689,0.73073
0.68,43.9536,81.8272,26.1146,78.0302,119.78,10.1587,0.794438
0.7,45.5616,81.8505,27.7228,80.4089,118.934,-42.3075,0.858738
0.72,47.2172,81.8762,29.3786,82.7898,119.049,5.75223,0.922986
0.74,48.9201,81.9046,31.0818,85.1573,118.374,-33.7095,0.986473
0.76,50.6701,81.9356,32.832,87.5106,117.664,-35.5218,1.04843
0.78,52.467,81.9695,34.6293,89.864,117.668,0.220487,1.10803
0.8,54.3106,82.0061,36.4732,92.1966,116.629,-51.9591,1.16439
0.82,56.2007,82.0454,38.3637,94.5279,116.565,-3.19908,1.21658
0.84,58.137,82.0873,40.3005,96.8375,115.483,-54.1207,1.26364
0.86,60.1194,82.1318,42.2834,99.1448,115.364,-5.95425,1.30456
0.88,62.1475,82.1786,44.312,101.429,114.232,-56.5612,1.33833
0.9,64.221,82.2276,46.3861,103.706,113.837,-19.7792,1.3639
0.92,66.3399,82.2783,48.5056,105.975,113.453,-19.1772,1.38027
0.94,68.499,82.3305,50.6653,107.986,100.56,-644.665,1.3864
0.96,70.6886,82.3834,52.8556,109.512,76.2558,-1215.21,1.38146
0.98,72.8993,82.4365,55.0669,110.564,52.6219,-1181.69,1.36485
1,75.1212,82.4889,57.2894,111.127,28.1422,-1223.99,1.33627
1.02,77.3428,82.54,59.5116,111.109,-0.871178,-1450.67,1.29575
1.04,79.5527,82.589,61.722,110.522,-29.3944,-1426.16,1.24371
1.06,81.7413,82.6353,63.9111,109.456,-53.2693,-1193.74,1.18081
1.08,83.8995,82.6784,66.0698,107.932,-76.1921,-1146.14,1.10801
1.1,86.0181,82.7179,68.1887,105.948,-99.2148,-1151.13,1.02652
1.12,88.0901,82.7535,70.261,103.615,-116.659,-872.203,0.937667
1.14,90.113,82.7849,72.2842,101.157,-122.899,-311.991,0.84268
1.16,92.0873,82.8123,74.2586,98.7229,-121.697,60.1098,0.742686
1.18,94.0131,82.8356,76.1846,96.2978,-121.258,21.9012,0.638787
1.2,95.8907,82.8547,78.0623,93.8859,-120.593,33.2585,0.53205
1.22,97.7204,82.87,79.892,91.487,-119.945,32.4324,0.423497
1.24,99.5023,82.8815,81.6741,89.1003,-119.335,30.5039,0.314097
1.26,101.237,82.8893,83.4088,86.7351,-118.262,53.6377,0.20476
1.28,102.924,82.8937,85.0953,84.3255,-120.478,-110.785,0.0963266
1.3,104.563,82.895,86.7352,81.9958,-116.488,199.468,-0.0104283
1.32,106.157,82.8932,88.3287,79.6748,-116.046,22.1082,-0.114805
1.34,107.703,82.8888,89.8749,77.3118,-118.152,-105.307,-0.216179
1.36,109.203,82.8818,91.375,75.0057,-115.304,142.389,-0.314
1.38,110.655,82.8727,92.8271,72.6055,-120.011,-235.309,-0.407798
1.4,112.063,82.8616,94.2343,70.3602,-112.263,387.38,-0.497175
1.42,113.423,82.8488,95.5947,68.0191,-117.059,-239.794,-0.581808
1.44,114.736,82.8345,96.9083,65.6809,-116.906,7.6221,-0.661449
1.46,116.004,82.8191,98.1762,63.395,-114.298,130.44,-0.735917
1.48,117.225,82.8026,99.3974,61.0604,-116.728,-121.539,-0.805098
1.5,118.4,82.7854,100.572,58.7264,-116.702,1.30966,-0.86894
1.52,119.528,82.7677,101.701,56.4421,-114.212,124.522,-0.927452
1.54,120.611,82.7498,102.784,54.1571,-114.253,-2.05211,-0.980693
1.56,121.648,82.7316,103.82,51.8206,-116.826,-128.641,-1.02878
1.58,122.637,82.7133,104.81,49.4821,-116.922,-4.82237,-1.07186
1.6,123.581,82.6954,105.754,47.191,-114.555,118.339,-1.11013
1.62,124.478,82.6778,106.651,44.8472,-117.194,-131.955,-1.14382
1.64,125.328,82.6605,107.502,42.5499,-114.864,116.531,-1.1732
1.66,126.132,82.644,108.306,40.199,-117.543,-133.954,-1.19854
1.68,126.89,82.6279,109.064,37.8947,-115.216,116.35,-1.22014
1.7,127.6,82.6127,109.774,35.5361,-117.932,-135.787,-1.23832
1.72,128.265,82.5982,110.439,33.2236,-115.622,115.47,-1.2534
1.74,128.882,82.5846,111.056,30.8572,-118.323,-135.04,-1.26571
1.76,129.452,82.572,111.627,28.5366,-116.03,114.65,-1.27557
1.78,129.975,82.5603,112.15,26.162,-118.731,-135.048,-1.28331
1.8,130.451,82.5496,112.626,23.7837,-118.914,-9.16181,-1.28923
1.82,130.88,82.54,113.055,21.4518,-116.592,116.112,-1.29362
1.84,131.262,82.5313,113.437,19.1165,-116.769,-8.85648,-1.29677
1.86,131.597,82.5238,113.772,16.7278,-119.432,-133.168,-1.29893
1.88,131.883,82.5172,114.058,14.3368,-119.55,-5.87098,-1.30032
1.9,132.123,82.5118,114.298,11.9928,-117.202,117.397,-1.30116
1.92,132.315,82.5074,114.49,9.5969,-119.794,-129.592,-1.30162
1.94,132.46,82.5041,114.635,7.24919,-117.386,120.408,-1.30184
1.96,132.56,82.5019,114.735,5.00023,-112.448,246.885,-1.30192
1.98,132.621,82.5005,114.796,3.05044,-97.4898,747.903,-1.30195
2,132.653,82.4998,114.828,1.60038,-72.5027,1249.35,-1.30195
2.02,132.665,82.4995,114.84,0.600187,-50.0098,1124.65,-1.30195
2.04,132.668,82.4994,114.843,0.150083,-22.5052,1375.23,-1.30195
2.06,132.668,82.4994,114.843,0,-7.50417,750.052,-1.30195
